study,dataset,trial,epochs,v_a_acc↑^,v_r_acc,state,heads*,layers*,h_dim,drop,lr*,a_pdrop*,bs,es_pat,e_pdrop*,hidden_size,shared_r_drop*,r_pdrop*,source_study,source_trial,n_state,obj_metric,fp,vset,bw,eval_freq,epoch,t_loss,t_a_acc,t_r_acc,v_loss,s/epch
compare2_small_structured_dropout,small,6,71,0.2717,0.0664,COMPLETE,3,2,64,0.206,1.18e-01,-,-,-,-,-,-,-,-,-,2,-,1024,n1+n5,1,100,    8,0.03004,0.25192,0.06080,0.06652,   7.7
compare2_small_structured_dropout,small,8,69,0.2711,0.0658,COMPLETE,2,2,64,0.296,9.02e-02,-,-,-,-,-,-,-,-,-,2,-,1024,n1+n5,1,100,   16,0.02919,0.24682,0.05300,0.07188,   6.8
large-merged,large,0,100,0.2692,0.0448,COMPLETE,4,12,256,-,1.32e-04,0.140,128,20,0.137,1024,-,0.022,baseline-large-…,0,2,valid_action_ac…,1024,n1+n5,1,100,   95,0.02035,0.27203,0.04002,0.05453, 243.8
baseline-large-emma-21-layers,large,0,100,0.2692,0.0448,COMPLETE,4,12,-,-,1.32e-04,0.140,-,-,0.137,-,-,0.022,-,-,2,valid_action_ac…,1024,n1+n5,1,100,   95,0.02035,0.27203,0.04002,0.05453, 243.8
sunday-optuna-test-small-2-epochs-3-trials-gpu,small,0,40,0.2682,0.0707,COMPLETE,1,3,256,0.100,2.11e-01,-,-,-,-,-,-,-,-,-,2,-,1024,n1+n5,1,100,    8,0.01967,0.25414,0.06230,0.06712,   9.0
standard-v2-lr0005,standard,0,100,0.2674,0.0465,COMPLETE,4,3,256,0.100,5.00e-04,-,-,-,-,-,-,-,-,-,2,valid_route_acc…,1024,n1+n5,1,50,   86,0.03197,0.26864,0.04283,0.06129,  55.8
small_baseline,small,0,34,0.2668,0.0703,COMPLETE,1,3,256,0.100,2.11e-01,-,-,-,-,-,-,-,-,-,2,-,1024,n1+n5,1,100,    8,0.01873,0.25204,0.05964,0.05621,   9.3
standard-v2-lr0005,standard,11,100,0.2648,0.0518,COMPLETE,2,24,128,0.285,1.60e-03,-,-,-,-,-,-,-,-,-,2,valid_route_acc…,1024,n1+n5,1,50,   25,0.12904,0.26479,0.04783,0.14276,  51.9
standard-v2-lr0005,standard,5,7,0.2645,0.0493,COMPLETE,4,2,64,0.266,3.39e-03,-,-,-,-,-,-,-,-,-,2,valid_route_acc…,1024,n1+n5,1,50,   14,0.25165,0.26845,0.05010,0.26168,  24.5
baseline_small_hyperparameter_tuning,small,5,53,0.2625,0.0666,COMPLETE,1,3,256,-,1.54e-01,-,-,-,-,-,-,-,-,-,2,valid_route_acc…,1024,n1+n5,1,100,    9,0.01471,0.24225,0.05490,0.05922,   9.1
sunday-optuna-test-small-7-trials-40-epochs,small,0,40,0.2595,0.0647,COMPLETE,1,3,256,0.100,2.11e-01,-,-,-,-,-,-,-,-,-,2,-,1024,n1+n5,1,100,   30,0.00819,0.25960,0.05968,0.05290,   7.9
sunday-optuna-test-small-10-trials-50-epochs,small,0,50,0.2592,0.0604,COMPLETE,1,3,256,0.100,2.11e-01,-,-,-,-,-,-,-,-,-,2,-,1024,n1+n5,1,100,   12,0.01516,0.24899,0.05993,0.05438,   9.6
compare2_small_standard_dropout,small,2,58,0.2589,0.0655,COMPLETE,3,2,128,0.006,7.56e-02,-,-,-,-,-,-,-,-,-,2,-,1024,n1+n5,1,100,    4,0.02269,0.24567,0.05615,0.05670,   8.5
compare_small_standard_dropout_baseline,small,0,17,0.2546,0.0707,COMPLETE,1,3,256,0.100,2.11e-01,-,-,-,-,-,-,-,-,-,2,-,1024,n1+n5,1,100,    9,0.01860,0.24427,0.05819,0.05576,   9.1
compare_small_structured_dropout,small,0,31,0.2538,0.0614,COMPLETE,1,3,256,0.100,2.11e-01,-,-,-,-,-,-,-,-,-,2,-,1024,n1+n5,1,100,    7,0.02512,0.23659,0.05199,0.05750,   9.2
standard-v2-lr0005,standard,10,100,0.2535,0.0424,COMPLETE,1,32,128,0.096,5.92e-04,-,-,-,-,-,-,-,-,-,2,valid_route_acc…,1024,n1+n5,1,50,   58,0.15243,0.25474,0.04326,0.17795,  36.3
compare2_small_standard_dropout,small,0,34,0.2525,0.0608,COMPLETE,1,3,256,0.100,2.11e-01,-,-,-,-,-,-,-,-,-,2,-,1024,n1+n5,1,100,   10,0.01663,0.24418,0.05363,0.05574,   9.3
standard-v2-dropout-details,standard,5,2,0.2517,0.0514,RUNNING,4,10,96,-,4.16e-03,0.012,-,-,0.029,-,-,0.239,-,-,2,valid_route_acc…,1024,n1+n5,1,50,    1,0.41045,0.21986,0.04134,0.32505,  38.7
compare_small_standard_dropout_baseline,small,10,17,0.2514,0.0610,COMPLETE,1,3,256,0.403,3.76e-01,-,-,-,-,-,-,-,-,-,2,-,1024,n1+n5,1,100,   11,0.03159,0.23015,0.04578,0.05793,   9.3
standard-v2-dropout-details,standard,3,100,0.2513,0.0455,COMPLETE,3,10,96,-,2.88e-04,0.037,-,-,0.376,-,-,0.038,-,-,2,valid_route_acc…,1024,n1+n5,1,50,   86,0.20327,0.25369,0.04504,0.19930,  29.9
small_baseline,small,4,31,0.2509,0.0608,COMPLETE,3,4,64,0.198,1.95e-01,-,-,-,-,-,-,-,-,-,2,-,1024,n1+n5,1,100,   16,0.01574,0.23706,0.05242,0.05337,   8.9
compare_small_standard_dropout_baseline,small,5,30,0.2505,0.0608,COMPLETE,1,2,128,0.123,2.22e-01,-,-,-,-,-,-,-,-,-,2,-,1024,n1+n5,1,100,   16,0.01570,0.24341,0.05392,0.06417,   6.7
sunday-optuna-test-small-7-trials-40-epochs,small,1,3,0.2473,0.0642,FAIL,8,32,128,0.265,2.38e-02,-,-,-,-,-,-,-,-,-,2,-,1024,n1+n5,1,100,    1,0.08821,0.23232,0.05676,0.06963, 297.6
baseline-standard-lr211-100epochs,large,1,30,0.2437,0.0308,FAIL,4,3,256,0.090,5.46e-04,-,-,-,-,-,-,-,-,-,2,valid_route_acc…,1024,n1+n5,1,100,   27,0.01517,0.25438,0.03274,0.05435,  71.7
baseline_small_hyperparameter_tuning,small,7,41,0.2421,0.0610,COMPLETE,2,3,128,-,1.91e-01,-,-,-,-,-,-,-,-,-,2,valid_route_acc…,1024,n1+n5,1,100,   38,0.00668,0.24953,0.05687,0.05775,   9.1
standard-v2-lr0005,standard,9,100,0.2409,0.0462,COMPLETE,1,8,256,0.014,6.07e-05,-,-,-,-,-,-,-,-,-,2,valid_route_acc…,1024,n1+n5,1,50,   99,0.40405,0.24413,0.04629,0.41070,  24.3
